DATE,품목명,총반입량,전일,전년
2022-07-27,배추,436,409,317
2022-07-26,배추,409,483,339
2022-07-25,배추,484,0,0
2022-07-23,배추,243,237,403
2022-07-22,배추,237,465,361
2022-07-21,배추,465,403,439
2022-07-20,배추,404,424,349
2022-07-19,배추,423,445,461
2022-07-18,배추,445,0,0
2022-07-16,배추,380,435,335
2022-07-15,배추,434,276,348
2022-07-14,배추,276,465,600
2022-07-13,배추,465,326,497
2022-07-12,배추,325,562,427
2022-07-11,배추,562,0,0
2022-07-09,배추,259,423,479
2022-07-08,배추,423,405,490
2022-07-07,배추,404,411,581
2022-07-06,배추,411,387,733
2022-07-05,배추,388,520,353
2022-07-04,배추,520,0,0
2022-07-02,배추,348,273,621
2022-07-01,배추,273,200,518
2022-06-30,배추,200,475,505
2022-06-29,배추,475,488,513
2022-06-28,배추,488,654,495
2022-06-27,배추,654,0,0
2022-06-25,배추,274,550,426
2022-06-24,배추,550,429,479
2022-06-23,배추,429,461,442
2022-06-22,배추,462,493,426
2022-06-21,배추,493,387,454
2022-06-20,배추,387,0,0
2022-06-18,배추,406,467,346
2022-06-17,배추,467,310,387
2022-06-16,배추,312,460,554
2022-06-15,배추,460,393,406
2022-06-14,배추,394,342,607
2022-06-13,배추,342,0,0
2022-06-11,배추,356,443,372
2022-06-10,배추,442,494,229
2022-06-09,배추,494,471,402
2022-06-08,배추,471,243,341
2022-06-07,배추,242,478,359
2022-06-06,배추,478,0,0
2022-06-04,배추,305,326,238
2022-06-03,배추,326,321,333
2022-06-02,배추,321,416,340
2022-06-01,배추,417,311,467
2022-05-31,배추,311,426,371
2022-05-30,배추,427,0,0
2022-05-28,배추,277,316,306
2022-05-27,배추,316,379,293
2022-05-26,배추,379,340,339
2022-05-25,배추,340,397,396
