DATE,unit,rate,avg_price
2024-08-20,10,중,11920 
2024-08-20,10,하,7040 
2024-08-19,10,특,21488 
2024-08-19,10,상,15890 
2024-08-19,10,중,11596 
2024-08-19,10,하,7278 
2024-08-18,10,특,0 
2024-08-18,10,상,0 
2024-08-18,10,중,0 
2024-08-18,10,하,0 
2024-08-17,10,특,29430 
2024-08-17,10,상,18176 
2024-08-17,10,중,10712 
2024-08-17,10,하,8112 
2024-08-16,10,특,27136 
2024-08-16,10,상,18359 
2024-08-16,10,중,10796 
2024-08-16,10,하,7628 
2024-08-15,10,특,24410 
2024-08-15,10,상,17259 
2024-08-15,10,중,11582 
2024-08-15,10,하,7700 
2024-08-14,10,특,27687 
2024-08-14,10,상,19262 
2024-08-14,10,중,11854 
2024-08-14,10,하,9504 
2024-08-13,10,특,21951 
2024-08-13,10,상,16265 
2024-08-13,10,중,10258 
2024-08-13,10,하,6708 
2024-08-12,10,특,25173 
2024-08-12,10,상,16866 
2024-08-12,10,중,10910 
2024-08-12,10,하,7298 
2024-08-11,10,특,0 
2024-08-11,10,상,0 
2024-08-11,10,중,0 
2024-08-11,10,하,0 
2024-08-10,10,특,24888 
2024-08-10,10,상,17825 
2024-08-10,10,중,10809 
2024-08-10,10,하,8072 
2024-08-09,10,특,23960 
2024-08-09,10,상,17708 
